"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1788","Validate spot the bug form missing required field Phone Number","chromium","Sun Nov 02 22:39:36 NZDT 2025","passed","Sun Nov 02 22:39:37 NZDT 2025","Form Validation Tests","formValidationTest.spec.ts","",""
"","4527","Validate spot the bug form mininum password length 7 characters","chromium","Sun Nov 02 22:39:24 NZDT 2025","passed","Sun Nov 02 22:39:29 NZDT 2025","Form Validation Tests","formValidationTest.spec.ts","",""
"","5055","Validate spot the bug form all required fields with valid data","chromium","Sun Nov 02 22:39:24 NZDT 2025","passed","Sun Nov 02 22:39:29 NZDT 2025","Form Validation Tests","formValidationTest.spec.ts","",""
"","2234","Validate spot the bug form invalid phone number with less than 10 digits (short)","chromium","Sun Nov 02 22:39:37 NZDT 2025","passed","Sun Nov 02 22:39:40 NZDT 2025","Form Validation Tests","formValidationTest.spec.ts","",""
"","8045","Validate spot the bug form missing required field Email Address","chromium","Sun Nov 02 22:39:33 NZDT 2025","failed","Sun Nov 02 22:39:41 NZDT 2025","Form Validation Tests","formValidationTest.spec.ts","",""
"","2460","Validate spot the bug form invalid password with less than 7 characters","chromium","Sun Nov 02 22:39:46 NZDT 2025","passed","Sun Nov 02 22:39:48 NZDT 2025","Form Validation Tests","formValidationTest.spec.ts","",""
"","3528","Validate spot the bug form maximum password length 11 characters","chromium","Sun Nov 02 22:39:30 NZDT 2025","passed","Sun Nov 02 22:39:33 NZDT 2025","Form Validation Tests","formValidationTest.spec.ts","",""
"","1956","Validate spot the bug form missing required field Password","chromium","Sun Nov 02 22:39:34 NZDT 2025","passed","Sun Nov 02 22:39:36 NZDT 2025","Form Validation Tests","formValidationTest.spec.ts","",""
"","8367","Validate spot the bug form missing required field Last Name","chromium","Sun Nov 02 22:39:31 NZDT 2025","failed","Sun Nov 02 22:39:39 NZDT 2025","Form Validation Tests","formValidationTest.spec.ts","",""
"","2525","Validate spot the bug form invalid password with greated than 19 characters","chromium","Sun Nov 02 22:39:42 NZDT 2025","passed","Sun Nov 02 22:39:45 NZDT 2025","Form Validation Tests","formValidationTest.spec.ts","",""
"","2965","Validate spot the bug form invalid phone number with non digit characters","chromium","Sun Nov 02 22:39:43 NZDT 2025","passed","Sun Nov 02 22:39:46 NZDT 2025","Form Validation Tests","formValidationTest.spec.ts","",""
"","2440","Validate spot the bug form invalid email format","chromium","Sun Nov 02 22:39:40 NZDT 2025","passed","Sun Nov 02 22:39:42 NZDT 2025","Form Validation Tests","formValidationTest.spec.ts","",""
"","3126","Validate spot the bug form mininum phone number length 10 digits","chromium","Sun Nov 02 22:39:31 NZDT 2025","passed","Sun Nov 02 22:39:34 NZDT 2025","Form Validation Tests","formValidationTest.spec.ts","",""
"","30303","Validate spot the bug form all valid fields with valid data","chromium","Sun Nov 02 22:39:24 NZDT 2025","broken","Sun Nov 02 22:39:55 NZDT 2025","Form Validation Tests","formValidationTest.spec.ts","",""
"","3731","Validate form page loaded","chromium","Sun Nov 02 22:39:24 NZDT 2025","passed","Sun Nov 02 22:39:28 NZDT 2025","Form Validation Tests","formValidationTest.spec.ts","",""
